slug,url,category_id,category,type,title,description,h1,canonical,date_published,date_modified,has_ads,ad_slots,has_cluster,has_takeaway,next_read_count,body_chars
3nin-kazoku-seikatsuhi,/articles/3nin-kazoku-seikatsuhi/,category-basics,家計を見わたす,stats,3人家族の生活費はいくら？2025年家計調査から固定費の見直し順まで解説,総務省統計局「家計調査」2025年の3人世帯の支出内訳を、出典と読み方の注意点つきで紹介します。平均を「適正額」として扱わず、毎月続く支出をどう見直すかまで解説します。,3人家族の生活費はいくら？ 2025年家計調査から固定費の見直し順まで解説,https://kakei-hokenshitsu.com/articles/3nin-kazoku-seikatsuhi/,2026-08-30,2026-08-30,False,,False,True,3,2477
4nin-kazoku-tsushinhi,/articles/4nin-kazoku-tsushinhi/,category-telecom,通信費を見直す,stats,4人家族の通信費はいくら？2025年家計調査からスマホ・ネットの見直し方を解説,総務省「家計調査」2025年の世帯人員別「通信」の金額を、出典と読み方の注意点つきで紹介します。平均との比較ではなく、請求明細をスマホ・自宅ネット・端末代・オプションに分解する手順を解説します。,4人家族の通信費はいくら？ 2025年家計調査からスマホ・ネットの見直し方を解説,https://kakei-hokenshitsu.com/articles/4nin-kazoku-tsushinhi/,2026-08-30,2026-08-30,True,mobile,False,True,3,1517
all-denka-konetsuhi,/articles/all-denka-konetsuhi/,category-utilities,光熱費を見直す,steps,オール電化の光熱費を見直す手順｜時間帯別プランと契約容量の確認から,オール電化はガス代がない代わりに電気代に集約されます。時間帯別プラン、契約容量、給湯の使い方など、確認する順番に沿って見直しの手順を解説します。,オール電化の光熱費を見直す手順,https://kakei-hokenshitsu.com/articles/all-denka-konetsuhi/,2026-08-30,2026-08-30,True,electricity,False,True,4,1552
chintai-net-kaisen,/articles/chintai-net-kaisen/,category-telecom,通信費を見直す,steps,賃貸で工事できない人のネット回線の選び方｜光・ホームルーター・モバイルWiFiの違い,賃貸で開通工事ができない・したくない場合のネット回線の選び方。光回線、ホームルーター、モバイルWiFiは用途が異なります。利用人数・使い方・利用期間から選ぶ手順を解説します。,賃貸で工事できない人の ネット回線の選び方,https://kakei-hokenshitsu.com/articles/chintai-net-kaisen/,2026-08-30,2026-08-30,True,internet-nc,False,True,3,2016
denki-gas-matome,/articles/denki-gas-matome/,category-utilities,光熱費を見直す,steps,電気とガスをまとめる前に確認すること,電気とガスを1社にまとめると割引がある一方、まとめないほうが安いこともあります。自宅のガスの種類、対象プラン、割引の期間、やめるときの条件まで、判断の順番を整理します。,電気とガスをまとめる前に 確認すること,https://kakei-hokenshitsu.com/articles/denki-gas-matome/,2026-09-02,2026-09-02,False,,False,True,4,1474
denryoku-kirikae-demerit,/articles/denryoku-kirikae-demerit/,category-utilities,光熱費を見直す,steps,電力会社の切り替えにデメリットは？停電・工事・倒産・違約金の不安を順番に確認,電力会社を切り替えると停電しやすくなる？工事は必要？倒産したらどうなる？違約金は？——資源エネルギー庁の公開情報をもとに、切り替え前の不安を順番に確認します。,電力会社の切り替えに デメリットはある？,https://kakei-hokenshitsu.com/articles/denryoku-kirikae-demerit/,2026-08-30,2026-08-30,False,,False,True,3,1946
hikkoshi-konetsuhi-tetsuzuki,/articles/hikkoshi-konetsuhi-tetsuzuki/,category-utilities,光熱費を見直す,steps,引っ越し前後の光熱費の手続き｜電気・ガス・水道のチェックリスト,引っ越しの電気・ガス・水道は、止める手続きと始める手続きが別々に必要です。いつ何を確認するかをチェックリストにまとめました。受付期限や所要日数は各社で異なるため、確認先を示しています。,引っ越し前後の光熱費の手続き 電気・ガス・水道のチェックリスト,https://kakei-hokenshitsu.com/articles/hikkoshi-konetsuhi-tetsuzuki/,2026-09-03,2026-09-03,False,,False,True,3,1966
hikkoshi-kotei-hi,/articles/hikkoshi-kotei-hi/,category-basics,家計を見わたす,steps,引っ越しは固定費をまとめて見直せる唯一の機会｜手続きの順番と確認リスト,引っ越しは、電気・ガス・ネット回線・保険などの契約を一度に見直せる機会です。手続きの順番、退去前・入居後に確認すること、住所変更が必要なものを整理しました。,引っ越しは、固定費をまとめて 見直せる機会です,https://kakei-hokenshitsu.com/articles/hikkoshi-kotei-hi/,2026-08-30,2026-08-30,False,,False,True,5,1496
hoken-minaoshi-mae,/articles/hoken-minaoshi-mae/,category-insurance,保険と将来のお金,steps,保険料を見直す前に確認すること｜金額の前に、契約の中身を見る,保険料が高いかどうかは、金額だけでは決まりません。契約している保険の書き出し方、保障の中身・保険期間・更新の有無・重複・家族構成の変化まで、相談する前に自分で確認できる項目を順番に整理します。,保険料を見直す前に 確認すること,https://kakei-hokenshitsu.com/articles/hoken-minaoshi-mae/,2026-09-02,2026-09-02,False,,True,True,4,2547
hoken-shoken-yomikata,/articles/hoken-shoken-yomikata/,category-insurance,保険と将来のお金,steps,保険証券のどこを見る？見直し前に確認したい項目,保険証券は専門用語が並んでいて読みにくい書類です。契約者・被保険者・受取人、保険期間と払込期間、主契約と特約など、見直しの前に確認しておきたい項目を順番に整理します。,保険証券のどこを見る？ 見直し前に確認したい項目,https://kakei-hokenshitsu.com/articles/hoken-shoken-yomikata/,2026-09-02,2026-09-02,False,,True,True,3,1917
